Event	ID	Name			Wwise Object Path	Notes
	604671578	Play_amb_layer_rain_loop			\Default Work Unit\amb_Weather_DO_NOT_PUT_UNDER_AMBIANCE_OR_IT_WILL_BE_INCLUDED_IN_TWO_BANKS\Play_amb_layer_rain_loop	
	686670768	Stop_amb_layer_rain_loop			\Default Work Unit\amb_Weather_DO_NOT_PUT_UNDER_AMBIANCE_OR_IT_WILL_BE_INCLUDED_IN_TWO_BANKS\Stop_amb_layer_rain_loop	Made both commands global - Aug/22/2017 - to remove issue where rain sound doesn't stop switching biomes. 
	3425881898	Stop_amb_layer_rain_matrix_loop			\Default Work Unit\amb_Weather_DO_NOT_PUT_UNDER_AMBIANCE_OR_IT_WILL_BE_INCLUDED_IN_TWO_BANKS\Rain Matrix\Stop_amb_layer_rain_matrix_loop	Made both commands global - Aug/22/2017 - to remove issue where rain sound doesn't stop switching biomes. 
	4190075424	Play_amb_layer_rain_matrix_loop			\Default Work Unit\amb_Weather_DO_NOT_PUT_UNDER_AMBIANCE_OR_IT_WILL_BE_INCLUDED_IN_TWO_BANKS\Rain Matrix\Play_amb_layer_rain_matrix_loop	

State Group	ID	Name			Wwise Object Path	Notes
	1545339944	falling_state			\Default Work Unit\falling_state	
	2008033692	water_state			\Default Work Unit\water_state	Set when player is under water or above water

State	ID	Name	State Group			Notes
	0	None	falling_state			
	399052710	FALLING	falling_state			
	4176812997	GLIDING	falling_state			
	0	None	water_state			
	2432428	above	water_state			For Camera / player this is the default not-underwater. For boats - this is in the air.
	2005628297	under	water_state			

Custom State	ID	Name	State Group	Owner		Notes
	277054172	GLIDING	falling_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_med		
	398062857	GLIDING	falling_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain\seq_amb_rain_drops\amb_rain_drop_single		
	422331545	GLIDING	falling_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain\seq_amb_rain_drops\amb_rain_drop_med		
	667748697	GLIDING	falling_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix		
	765160335	under	water_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain		
	814852065	under	water_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix		
	923983246	GLIDING	falling_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_single		
	990812734	GLIDING	falling_state	\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain		

Game Parameter	ID	Name			Wwise Object Path	Notes
	14728885	block_vertical_placement_offset			\Default Work Unit\block_vertical_placement_offset	Vertical height offset from the first placed block. ie 1 block up, 2 blocks up, 3 blocks up...etc. 
	1011404481	rtpc_indoors			\Default Work Unit\Ambiance\rtpc_indoors	Block Occlusion of Light / Weather 1 = no occlusion 0 = occlusion
	2166532802	fts_movement_speed			\Default Work Unit\Footsteps\fts_movement_speed	used for boats and tracks 0,0-1,0
	2978253010	rtpc_rain_volume			\Default Work Unit\Ambiance\rtpc_rain_volume	Used to control the volume of the rain when player enters a covered area. 
	4138158929	rtpc_amb_x_fade_distance			\Default Work Unit\Ambiance\rtpc_amb_x_fade_distance	Crossfade of ambiance over time,

Effect plug-ins	ID	Name	Type				Notes
	1125262053	Blue_Distant_Echoes	Wwise Stereo Delay			
	4136714357	Few_Odd_Harm_Peaks	Wwise Flanger			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	70957513	amb_rain_drop_med_01	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_med_01_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_med\amb_rain_drop_med_01		17896
	91559288	amb_rain_drop_single_02	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_single_02_54EC74BB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain\seq_amb_rain_drops\amb_rain_drop_single\amb_rain_drop_single_02		15664
	130163622	amb_rain_drop_single_07	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_single_07_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_single\amb_rain_drop_single_07		13438
	143322905	amb_rain_drop_med_03	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_med_03_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_med\amb_rain_drop_med_03		25326
	176374939	amb_rain_loop_front	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_loop_5065067A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain\amb_rain_loop_front		180056
	228645677	amb_rain_drop_med_01	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_med_01_54EC74BB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain\seq_amb_rain_drops\amb_rain_drop_med\amb_rain_drop_med_01		16978
	254895041	amb_rain_drop_med_08	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_med_08_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_med\amb_rain_drop_med_08		32756
	261231683	amb_rain_drop_single_04	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_single_04_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_single\amb_rain_drop_single_04		20868
	293425890	amb_rain_drop_single_01	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_single_01_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_single\amb_rain_drop_single_01		13438
	321499906	amb_rain_drop_single_08	C:\Trove\audio_source\wwise\.cache\Windows\SFX\ambiance\amb_rain_drop_single_08_54EC74BB_D9130F0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Bus\grp_Ambiance\amb_weather\amb_rain_matrix\seq_amb_rain_matrix_drops\amb_rain_matrix_drop_single\amb_rain_drop_single_08		23840
