Event	ID	Name			Wwise Object Path	Notes
	1169285	Play_mnt_rolling_toxic_barrel_jump			\Foley\fld_Foley\_MOUNTS\ENGINE MOUNTS\mnt_rolling_toxic_barrel\Play_mnt_rolling_toxic_barrel_jump	
	6330665	Stop_mnt_cloud_storm_backwards_loop			\Foley\fld_Foley\_MOUNTS\ENGINE MOUNTS\mnt_Cloud\Storm Cloud\Stop_mnt_cloud_storm_backwards_loop	
	6758331	Play_vfx_md_lava_splash			\Foley\fld_Foley\Character Foley\Liquids Foley\Lava\Play_vfx_md_lava_splash	PLayer sized - jump into water splash
	10890137	Play_fts_mnt_lg_camelbot_run			\Foley\fld_Foley\_MOUNTS\mnt_lg_llama_camel\mnt_lg_camel\mnt_lg_camel_ROBOT\Play_fts_mnt_lg_camelbot_run	DEFAULT footstep movement sound. This loops and is not tied to animation. Can control the speed via RTPC : fts_movement_speed
	11426406	Play_affix_meteor_fire			\Abilities\fld_Abilities\_BOSS Abilities\_BOSS Affixes\Play_affix_meteor_fire	
	11875845	Play_fts_ball_chest_walk			\Foley\fld_Foley\_MOUNTS\BALL MOUNTS\fts_BALL\Chest\Play_fts_ball_chest_walk	in mount use BALL as the footstep size 
	14205227	Play_wpn_swing_sht_lg_h			\Abilities\fld_Abilities\Weapons\Swing Weapons NPC\Play_wpn_swing_sht_lg_h	Generic Weapon Attack : Short - Large - Heavy
	14205230	Play_wpn_swing_sht_lg_m			\Abilities\fld_Abilities\Weapons\Swing Weapons NPC\Play_wpn_swing_sht_lg_m	Generic Weapon Attack : Short - Large - Normal
	15555362	Play_mnt_dragonE_backwards_loop			\Foley\fld_Foley\_MOUNTS\mnt_DragonE\Play_mnt_dragonE_backwards_loop	
	16554879	Play_ablty_gem_cndybb_sugar_crash_loop			\Abilities\fld_Abilities\GEM Abiltiies\CandyBB\Play_ablty_gem_cndybb_sugar_crash_loop	
	16665958	Play_fts_mnt_lg_warhorse_jump			\Foley\fld_Foley\_MOUNTS\mnt_lg_Warhorse\Play_fts_mnt_lg_warhorse_jump	DEFAULT footstep movement sound. This loops and is not tied to animation. Can control the speed via RTPC : fts_movement_speed
	21334797	Play_ablty_dinohunter_trap_land_LG			\Abilities\fld_Abilities\Class Abilities\Class 14 - DinoHunter\_NPC\Play_ablty_dinohunter_trap_land_LG	
	22411437	Stop_mnt_panda_steampunk_steam_run_loop			\Foley\fld_Foley\_MOUNTS\mnt_lg_panda\mnt_lg_panda_ROBOT_STEAMPUNK\Stop_mnt_panda_steampunk_steam_run_loop	
	22561506	Play_ablty_common_breathbeam_02_loop			\Abilities\fld_Abilities\_Common\FlameThrowerBeams\_NPC\Play_ablty_common_breathbeam_02_loop	
	24461378	Play_ablty_iceball_projectile_fire			\Abilities\fld_Abilities\_Common\Ice\Play_ablty_iceball_projectile_fire	Fireing sound for firefly / fireball projectiles.
	24783022	Play_ablty_faetrickster_hit_debuffed			\Abilities\fld_Abilities\Class Abilities\Class 02 - Fae Trickster\Play_ablty_faetrickster_hit_debuffed	
	25266245	Stop_mnt_flying_saucer_backwards_loop			\Foley\fld_Foley\_MOUNTS\ENGINE MOUNTS\mnt_FlyingSaucer\Stop_mnt_flying_saucer_backwards_loop	
	26459993	Play_ablty_generic_jump_buff_PLAYER			\Abilities\fld_Abilities\_Common\_BUFFS & DEBUFFS\Jump\_Player\Play_ablty_generic_jump_buff_PLAYER	
	27986285	Play_neon_ninja_sword_use_marked_rnd			\Abilities\fld_Abilities\Class Abilities\Class 04 - Neon Ninja\NPC\Play_neon_ninja_sword_use_marked_rnd	
	28075925	Play_geode_multitool_beam_loop_PLAYER			\Abilities\fld_Abilities\_Common\_GEODE\Modules\Geode MultiTool\PLAYER\Play_geode_multitool_beam_loop_PLAYER	
	29336533	Play_mob_minion_chick_dth			\Abilities\fld_Abilities\Class Abilities\Class 09 - Adventurer\Minion\Play_mob_minion_chick_dth	
	31835583	Play_ablty_shdwhntr_radiantarrow_fire			\Abilities\fld_Abilities\Class Abilities\Class 07 - ShadowHunter\Class 07 - ShadowHunter NPC\Play_ablty_shdwhntr_radiantarrow_fire	Gun slinger standard gun
	32198847	Play_boss_dragonbreath_ice			\Foley\fld_Foley\Boss Dragon Breath\Play_boss_dragonbreath_ice	
	34071757	Play_wpn_swing_sht_lg_h_timed_BOSS			\Abilities\fld_Abilities\Weapons\Swing Weapons BOSS Attenuations\Play_wpn_swing_sht_lg_h_timed_BOSS	
	34115610	Play_fts_mnt_md_meowntbot_jump			\Foley\fld_Foley\_MOUNTS\mnt_md_meownt_robot\Play_fts_mnt_md_meowntbot_jump	DEFAULT footstep movement sound. This loops and is not tied to animation. Can control the speed via RTPC : fts_movement_speed
	35293970	Stop_mnt_lg_bullfire_persistent_loop			\Foley\fld_Foley\_MOUNTS\mnt_lg_bull\FOOTSTEP_TYPES\Stop_mnt_lg_bullfire_persistent_loop	
	37242918	Play_ablty_icemage_gem_iceshard_hit_snare_PLAYER			\Abilities\fld_Abilities\Class Abilities\Class 06 - IceMage\PLAYER\Play_ablty_icemage_gem_iceshard_hit_snare_PLAYER	
	37683196	Play_ablty_shdwhntr_basic_hit_standard			\Abilities\fld_Abilities\Class Abilities\Class 07 - ShadowHunter\Play_ablty_shdwhntr_basic_hit_standard	
