Event	ID	Name			Wwise Object Path	Notes
	2514502	Play_mob_minebot_injry			\Mobs\fld_Mobs\Group #8\mob_minebot\Play_mob_minebot_injry	
	8431014	Play_mob_dream_monster_dth			\Mobs\fld_Mobs\Group #1\mob_dream_monster_large\Play_mob_dream_monster_dth	
	8577380	Play_mob_biped_robotboss_dth			\Mobs\fld_Mobs\Group #5\mob_biped_robot_Boss\Play_mob_biped_robotboss_dth	
	13229244	Play_geode_critter_hoppet_aggro			\Geode_Critters\YB\crit_Hoppet\Play_geode_critter_hoppet_aggro	
	17551850	Play_mob_treasurechest_critter_persistent_loop			\Mobs\fld_Mobs\Group #3\mob_fake_treasurechest\Play_mob_treasurechest_critter_persistent_loop	DO NOTHING
	20611682	Play_mob_shadowbiped_dth			\Mobs\fld_Mobs\Group #13 Shadow Tower Eclipse\Shadow Biped\Play_mob_shadowbiped_dth	
	22827621	Play_mob_fae_m_caster_persistent_loop			\Mobs\fld_Mobs\Group #8\Fae\Fae Male\Fae Caster M\Play_mob_fae_m_caster_persistent_loop	DO NOTHING
	32189962	Play_mob_skeleton_emperor_attk			\Mobs\fld_Mobs\Group #5\mob_skeleton_emperor\Play_mob_skeleton_emperor_attk	
	32201324	Play_mob_jadebound_phantom_persistent_loop			\Mobs\fld_Mobs\Group #14 - China Biome\JadeBound Phantom\Play_mob_jadebound_phantom_persistent_loop	
	32670808	Play_mob_boss_spikewalker_persistent_loop			\Mobs\fld_Mobs\ShadowTitans\BOSS_Spikewalker\Play_mob_boss_spikewalker_persistent_loop	
	36157314	Play_fts_mnt_md_caterpillar_cubit_jump			\Mobs\fld_Mobs\Group #6\Worm\mnt_md_caterpillar_cubit\Play_fts_mnt_md_caterpillar_cubit_jump	DEFAULT footstep movement sound. This loops and is not tied to animation. Can control the speed via RTPC : fts_movement_speed
	46501353	Stop_mob_draconian_persistent_loop			\Mobs\fld_Mobs\Group #14 - China Biome\Draconians\Stop_mob_draconian_persistent_loop	
