Event	ID	Name			Wwise Object Path	Notes
	6180437	Play_ins_ld_guitar_01_C4_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Guitar 01 - Extended G2 - C7\Play_ins_ld_guitar_01_C4_	
	22958018	Play_ins_ld_guitar_01_C5_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Guitar 01 - Extended G2 - C7\Play_ins_ld_guitar_01_C5_	
	28538978	Play_ins_bs_multi_A_01_A2			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 02\Play_ins_bs_multi_A_01_A2	
	28538979	Play_ins_bs_multi_A_01_A3			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 03\Play_ins_bs_multi_A_01_A3	
	28538980	Play_ins_bs_multi_A_01_A4			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 04\Play_ins_bs_multi_A_01_A4	
	28538981	Play_ins_bs_multi_A_01_A5			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 05\Play_ins_bs_multi_A_01_A5	
	28538982	Play_ins_bs_multi_A_01_A6			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_A6	
	61689103	Play_ins_ld_synth_01_C6_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Synth 01 - Extended G2 - C7\Play_ins_ld_synth_01_C6_	
	62094144	Play_ins_bs_multi_A_01_C6			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_C6	
	62094145	Play_ins_bs_multi_A_01_C7			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_C7	
	62094146	Play_ins_bs_multi_A_01_C4			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 04\Play_ins_bs_multi_A_01_C4	
	62094147	Play_ins_bs_multi_A_01_C5			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 05\Play_ins_bs_multi_A_01_C5	
	62094148	Play_ins_bs_multi_A_01_C2			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 02\Play_ins_bs_multi_A_01_C2	
	62094149	Play_ins_bs_multi_A_01_C3			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 03\Play_ins_bs_multi_A_01_C3	
	78466748	Play_ins_ld_synth_01_C7_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Synth 01 - Extended G2 - C7\Play_ins_ld_synth_01_C7_	
	78871866	Play_ins_bs_multi_A_01_B3			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 03\Play_ins_bs_multi_A_01_B3	
	78871867	Play_ins_bs_multi_A_01_B2			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 02\Play_ins_bs_multi_A_01_B2	
	78871868	Play_ins_bs_multi_A_01_B5			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 05\Play_ins_bs_multi_A_01_B5	
	78871869	Play_ins_bs_multi_A_01_B4			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 04\Play_ins_bs_multi_A_01_B4	
	78871871	Play_ins_bs_multi_A_01_B6			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_B6	
	83977409	Play_ins_pc_drumkit_01_F2_			\muzakq00bz\PC - Percussion\NEW\Play_ins_pc_drumkit_01_F2_	
	86989005	Stop_ins_ch_chip_sine_01			\muzakq00bz\CH - Chords\NEW\CH - Chip 01 - Extended G2 - C7\Stop_ins_ch_chip_sine_01	Stop All previous notes from this instrument
	91901271	Play_ins_ld_flute_01_C2_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Flute 01 - Extended G2 - C7\Play_ins_ld_flute_01_C2_	
	95244329	Play_ins_ld_synth_01_C4_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Synth 01 - Extended G2 - C7\Play_ins_ld_synth_01_C4_	
	95649448	Play_ins_bs_multi_A_01_E4			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 04\Play_ins_bs_multi_A_01_E4	
	95649449	Play_ins_bs_multi_A_01_E5			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 05\Play_ins_bs_multi_A_01_E5	
	95649450	Play_ins_bs_multi_A_01_E6			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_E6	
	95649454	Play_ins_bs_multi_A_01_E2			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 02\Play_ins_bs_multi_A_01_E2	
	95649455	Play_ins_bs_multi_A_01_E3			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 03\Play_ins_bs_multi_A_01_E3	
	100755054	Play_ins_pc_drumkit_01_F3_			\muzakq00bz\PC - Percussion\NEW\Play_ins_pc_drumkit_01_F3_	
	100902039	Play_ins_pc_drumkit_01_G3_			\muzakq00bz\PC - Percussion\Play_ins_pc_drumkit_01_G3_	Kick Hat - 01 - Hi
	103166303	Play_ins_ch_fox_01_C2_			\muzakq00bz\CH - Chords\ORIGINALS\CH - Fox 01 - Extended G2 - C7\Play_ins_ch_fox_01_C2_	
	108678852	Play_ins_ld_flute_01_C3_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Flute 01 - Extended G2 - C7\Play_ins_ld_flute_01_C3_	
	112022102	Play_ins_ld_synth_01_C5_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Synth 01 - Extended G2 - C7\Play_ins_ld_synth_01_C5_	
	112427033	Play_ins_bs_multi_A_01_D6			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_D6	
	112427034	Play_ins_bs_multi_A_01_D5			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 05\Play_ins_bs_multi_A_01_D5	
	112427035	Play_ins_bs_multi_A_01_D4			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 04\Play_ins_bs_multi_A_01_D4	
	112427036	Play_ins_bs_multi_A_01_D3			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 03\Play_ins_bs_multi_A_01_D3	
	112427037	Play_ins_bs_multi_A_01_D2			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 02\Play_ins_bs_multi_A_01_D2	
	117532571	Play_ins_pc_drumkit_01_F4_			\muzakq00bz\PC - Percussion\Play_ins_pc_drumkit_01_F4_	Hat 01 - Hi - Long
	117679620	Play_ins_pc_drumkit_01_G2_			\muzakq00bz\PC - Percussion\NEW\Play_ins_pc_drumkit_01_G2_	
	119943884	Play_ins_ch_fox_01_C3_			\muzakq00bz\CH - Chords\ORIGINALS\CH - Fox 01 - Extended G2 - C7\Play_ins_ch_fox_01_C3_	
	128799683	Play_ins_ld_synth_01_C2_			\muzakq00bz\LD - Leads\ORIGINALS\LD - Synth 01 - Extended G2 - C7\Play_ins_ld_synth_01_C2_	
	129204720	Play_ins_bs_multi_A_01_G2			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 02\Play_ins_bs_multi_A_01_G2	
	129204721	Play_ins_bs_multi_A_01_G3			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 03\Play_ins_bs_multi_A_01_G3	
	129204724	Play_ins_bs_multi_A_01_G6			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 06\Play_ins_bs_multi_A_01_G6	
	129204726	Play_ins_bs_multi_A_01_G4			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 04\Play_ins_bs_multi_A_01_G4	
	129204727	Play_ins_bs_multi_A_01_G5			\muzakq00bz\BS - Basses\NEW\BS - Chip Bass 01 - Key Split G2 - C7\Octave 05\Play_ins_bs_multi_A_01_G5	
